PROVISIONAL DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accident Ref,Borough,Boro,Latitude,Longitude,Easting,Northing,Location,Accident Severity,No. of Casualties in Acc.,No. of Vehicles in Acc.,Accident Date,Day,Time,Highway,Road Class 1,Road No. 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road No 2,Ped. Crossing Decoded,Light Condtions (Banded),Weather,Road Surface,Special Conditions,C/W Hazard,Time,Apolicer_Decoded
1200219808,Wandsworth,10,51.46226184,-0.25400137,521389,175144,"On Dowdeswell Close, 21 Metres North Of The Junction With Dowdeswell Close.",3 Slight,1,1,43865,Tuesday,43865.375,3 Bor,6 Unclassified,0,6 Single Cwy,20,00 No Jun In 20M,,,0,9 Unknown (S/R),2 Daylight,9 Unknown,9 Unknown (S/R),0 None,0 None,43865.375,3 Self Completion
1200220496,Lambeth,9,51.47032651,-0.13925314,529337,176237,"On Wandsworth Road, Near The Junction With Portslade Road.",3 Slight,2,1,43948,Monday,43948.57986,3 Bor,A,3036,6 Single Cwy,20,09 Other Jun,2 Auto Sig,6 Unclassified,0,4 Pelican Or Similar,2 Daylight,1 Fine,1 Road-Dry,0 None,0 None,43948.57986,1 Police - At Scene
1200228005,Westminster,1,51.52961417,-0.17871905,526432,182761,"On Hall Road, Near The Junction With Denning Close.",3 Slight,1,1,43831,Wednesday,43831.05903,3 Bor,5 C,0,6 Single Cwy,30,03 T/Stag Jun,1 Auth Person,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43831.05903,1 Police - At Scene
1200228006,Newham,17,51.54120995,-0.00168303,538676,184371,"On Great Eastern Road, 85 Metres North Of The Junction With Station Street.",2 Serious,1,1,43831,Wednesday,43831.07639,3 Bor,A,11,6 Single Cwy,30,00 No Jun In 20M,,,0,4 Pelican Or Similar,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.07639,1 Police - At Scene
1200228011,Westminster,1,51.51570425,-0.1375918,529324,181286,"On Oxford Street, Near The Junction With Poland Street.",3 Slight,2,1,43831,Wednesday,43831.10069,3 Bor,A,40,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,5 C,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.10069,1 Police - At Scene
1200228012,Lewisham,7,51.47627756,-0.02587995,537193,177105,"On Deptford High Street, Near The Junction With Comet Street.",3 Slight,1,1,43831,Wednesday,43831.0625,3 Bor,A,2209,2 One-Way St,20,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.0625,1 Police - At Scene
1200228014,Greenwich,6,51.49478019,0.01195873,539764,179234,"On John Harrison Way, Near The Junction With Western Way .",3 Slight,1,2,43831,Wednesday,43831.15486,3 Bor,6 Unclassified,0,6 Single Cwy,30,03 T/Stag Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43831.15486,1 Police - At Scene
1200228017,Tower Hamlets,5,51.52319506,-0.03939016,536115,182297,"On Mile End Rd, Near The Junction With Sidney Street.",2 Serious,1,2,43831,Wednesday,43831.125,1 Tlrn,A,11,3 Dual Cwy,30,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,8 Other,2 Road-Wet,0 None,0 None,43831.125,1 Police - At Scene
1200228018,Haringey,31,51.60565346,-0.11150057,530876,191335,"On High Road, Near The Junction With Sylvan Avenue.",3 Slight,1,2,43831,Wednesday,43831.16667,3 Bor,A,105,6 Single Cwy,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.16667,1 Police - At Scene
1200228020,Enfield,32,51.61497066,-0.12784019,529718,192342,"On Telford Road, Near The Junction With Bowes Rod.",3 Slight,1,2,43831,Wednesday,43831.14236,1 Tlrn,A,406,3 Dual Cwy,30,06 Crossroads,2 Auto Sig,A,406,5 Pedn Phase At Ats,1 Dark,1 Fine,1 Road-Dry,0 None,0 None,43831.14236,1 Police - At Scene
1200228022,Bromley,19,51.38694984,0.04764097,542576,167312,"On Magpie Hall Lane, Near The Junction With Greenway.",3 Slight,1,1,43831,Wednesday,43831.16667,3 Bor,6 Unclassified,0,6 Single Cwy,20,09 Other Jun,4 Give Way/Uncontrolled,6 Unclassified,0,0 No Xing Facility In 50M,1 Dark,1 Fine,1 Road-Dry,0 None,2 Other Object In Cwy,43831.16667,1 Police - At Scene
1200228024,Enfield,32,51.66001337,-0.05861995,534377,197476,"On Great Cambridge Road, Near The Junction With Carterhatch Lane.",2 Serious,4,3,43831,Wednesday,43831.15278,1 Tlrn,A,10,3 Dual Cwy,40,06 Crossroads,2 Auto Sig,5 C,0,5 Pedn Phase At Ats,1 Dark,1 Fine,2 Road-Wet,0 None,0 None,43831.15278,1 Police - At Scene
