PROVISIONAL ,,,,,,,,,,,,,,,,
AREFNO,Borough,Boro,Latitude,Longitude,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,CasualtyCount,Casualty Severity,Ped Location,Ped Movement,Mode of Travel
1200220496,Lambeth,9,51.47032651,-0.13925314,529337,176237,1,3 Pedestrian,2 Female,0-4,2,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200220496,Lambeth,9,51.47032651,-0.13925314,529337,176237,2,3 Pedestrian,2 Female,0-4,4,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian
1200228287,Newham,17,51.53719346,0.01022471,539514,183947,2,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200228403,Waltham Forest,13,51.56429362,-0.01117491,537948,186920,2,3 Pedestrian,1 Male,0-4,4,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200228539,Brent,28,51.58208319,-0.2561083,520925,188465,1,3 Pedestrian,2 Female,0-4,3,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian
1200228670,Bexley,18,51.47836592,0.18588375,551891,177755,1,2 Passenger,1 Male,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200228670,Bexley,18,51.47836592,0.18588375,551891,177755,2,2 Passenger,1 Male,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200228907,Havering,15,51.58285468,0.18935039,551784,189381,3,2 Passenger,1 Male,0-4,0,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200229361,Hounslow,25,51.48560376,-0.39741595,511370,177512,2,3 Pedestrian,2 Female,0-4,2,1,3 Slight,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian
1200229400,Brent,28,51.54308145,-0.25421182,521160,184131,1,3 Pedestrian,1 Male,0-4,1,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200229850,Barking & Dagenham,16,51.54203055,0.11508014,546770,184690,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,04 Crossing Road Within 50M Xing,2 From Drivers N/Side Msk,1 Pedestrian
1200230610,Haringey,31,51.59418994,-0.10826536,531133,190066,3,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200230845,Bexley,18,51.46489737,0.12904739,547988,176141,1,2 Passenger,'-1 Unknown,0-4,0,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200231048,Richmond-Upon-Thames,24,51.44557946,-0.36105679,513994,173117,5,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200231119,Lambeth,9,51.46444643,-0.13705909,529506,175587,1,3 Pedestrian,2 Female,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200231138,Croydon,20,51.37180624,-0.09641148,532597,165358,3,2 Passenger,'-1 Unknown,0-4,0,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200231268,Barnet,30,51.61243905,-0.1599509,527502,192004,1,3 Pedestrian,1 Male,0-4,4,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian
1200232528,Camden,2,51.55558034,-0.19354983,525332,185623,1,3 Pedestrian,2 Female,0-4,4,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian
1200232634,Newham,17,51.55218037,0.05196614,542362,185694,1,2 Passenger,2 Female,0-4,4,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200232634,Newham,17,51.55218037,0.05196614,542362,185694,2,2 Passenger,2 Female,0-4,2,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,4 Car
1200233581,Croydon,20,51.3692763,-0.10900131,531728,165054,1,3 Pedestrian,1 Male,0-4,3,1,3 Slight,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian
1200233689,Waltham Forest,13,51.61880154,0.00492915,538898,193012,1,2 Passenger,2 Female,0-4,3,1,3 Slight,'-2 Not Applicable,'-2 Not Applicable,6 Bus Or Coach
1200233692,Waltham Forest,13,51.62421456,0.00811513,539102,193620,1,3 Pedestrian,2 Female,0-4,3,1,3 Slight,05 Crossing Road (Not On Xing),4 From Drivers O/Side Msk,1 Pedestrian
